text,type,topic,subtopic,longitude,longitude (old),latitude,latitude (old),relevance
Cigs Absorber,sub-subtopic,Solar Panel,Solar Materials ,-51.17868,-121.17868,-4.40544,45.59456,14226
Cigs Panels,sub-subtopic,Solar Panel,Solar Materials ,-51.17781,-121.17781,-5.6471,44.3529,408355
Recycling Cigs,sub-subtopic,Solar Panel,Solar Materials ,-51.17606,-121.17606,-11.32204,38.67796,775236
Delamination,sub-subtopic,Solar Panel,Solar Materials ,-51.17392,-121.17392,-5.72738,44.27262,284738
Processing Techniques,sub-subtopic,Solar Panel,Solar performance assessment,-51.16384,-121.16384,-11.23677,38.76323,919
Concentrate Critical,sub-subtopic,Solar Panel,Solar Materials ,-51.15939,-121.15939,-11.66398,38.33602,763090
Crushing Proposed,sub-subtopic,Solar Panel,Solar Materials ,-51.14994,-121.14994,-11.83647,38.16353,553533
Mineral Processing,sub-subtopic,Solar Panel,Energy Risk indicators ,-51.13328,-121.13328,-11.12593,38.87407,953757
Proposed Experimental,sub-subtopic,Solar Panel,Solar forecasting accuracy,-51.12966,-121.12966,-12.5284,37.4716,859412
Cigs Solar,sub-subtopic,Solar Panel,Solar Materials ,-51.12949,-121.12949,-5.36655,44.63345,553622
Experiment,sub-subtopic,Solar Panel,Solar Materials ,-51.12603,-121.12603,-13.78726,36.21274,871530
Temperature Rate,sub-subtopic,Solar Panel,Thermal efficiency,-51.12438,-121.12438,-12.25841,37.74159,150822
Gallium,sub-subtopic,Solar Panel,Solar Materials ,-51.09467,-121.09467,-11.49815,38.50185,176401
Standard Solutions,sub-subtopic,Solar Panel,Solar technology adoption ,-51.08855,-121.08855,-11.78619,38.21381,88713
Ground Cigs,sub-subtopic,Solar Panel,Solar Materials ,-51.08494,-121.08494,-12.29424,37.70576,722534
Recovery Rate,sub-subtopic,Solar Panel,Solar Materials ,-51.08383,-121.08383,-11.97869,38.02131,457167
Mass,sub-subtopic,Solar Panel,Solar Materials ,-51.08217,-121.08217,-11.31426,38.68574,230974
Horizontal Axis,sub-subtopic,Solar Panel,Solar performance assessment,-51.08189,-121.08189,-11.06871,38.93129,537581
Fuerstenau Upgrading,sub-subtopic,Solar Panel,Solar Materials ,-51.08075,-121.08075,-14.43586,35.56414,990671
Thin-Film Structure,sub-subtopic,Solar Panel,Solar Materials ,-51.07689,-121.07689,-11.10343,38.89657,684421
Cigs Absorber,sub-subtopic,Solar Panel,Solar Materials ,-51.06106,-121.06106,-10.78094,39.21906,801988
Separation Degree,sub-subtopic,Solar Panel,Solar performance assessment,-51.05661,-121.05661,-10.96038,39.03962,84282
Maximum Absolute,sub-subtopic,Solar Panel,Solar performance assessment,-51.05384,-121.05384,-10.85844,39.14156,808341
Selective Liberation,sub-subtopic,Solar Panel,Energy Risk indicators ,-51.05188,-121.05188,-12.39062,37.60938,950175
Liberate Thin-Film,sub-subtopic,Solar Panel,Solar Materials ,-51.03914,-121.03914,-12.38246,37.61754,319171
In-Glass Curve,sub-subtopic,Solar Panel,Solar performance assessment,-51.02189,-121.02189,-10.99899,39.00101,667468
Maximum Ore,sub-subtopic,Solar Panel,Solar performance assessment,-51.02076,-121.02076,-12.68617,37.31383,25933
Fraction Greater,sub-subtopic,Solar Panel,Solar Materials ,-51.01779,-121.01779,-10.73827,39.26173,110168
Cut Point,sub-subtopic,Solar Panel,Solar Materials ,-51.01472,-121.01472,-11.11278,38.88722,437904
Morphology Observation,sub-subtopic,Solar Panel,Solar Materials ,-51.01188,-121.01188,-12.25646,37.74354,326993
Eva Attached,sub-subtopic,Solar Panel,Solar Materials ,-51.00579,-121.00579,-9.694,40.306,417577
Size Fraction,sub-subtopic,Solar Panel,Solar Materials ,-51.00519,-121.00519,-12.39793,37.60207,9293
75-150 Ibm,sub-subtopic,Solar Panel,Solar Materials ,-50.99882,-120.99882,-12.74228,37.25772,832326
Cutting Mill,sub-subtopic,Solar Panel,Thermal efficiency,-50.99792,-120.99792,-12.20219,37.79781,970581
Cigs Layers,sub-subtopic,Solar Panel,Solar Materials ,-50.99688,-120.99688,-12.3609,37.6391,843324
Cigs Solar,sub-subtopic,Solar Panel,Solar Materials ,-50.99415,-120.99415,5.13027,55.13027,815732
Cigs Solar,sub-subtopic,Solar Panel,Solar Materials ,-50.99271,-120.99271,-12.38618,37.61382,656473
Parameters Set,sub-subtopic,Solar Panel,Solar performance assessment,-50.98716,-120.98716,-11.33121,38.66879,231906
Fine Particle,sub-subtopic,Solar Panel,Solar Materials ,-50.98577,-120.98577,-12.37924,37.62076,446306
Centrifugal Mill,sub-subtopic,Solar Panel,Solar energy impact,-50.95771,-120.95771,-12.40507,37.59493,440376
Microwave Digester,sub-subtopic,Solar Panel,Sustainability analysis ,-50.95328,-120.95328,-10.89927,39.10073,78089
Zhejiang Provincial,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.95244,-120.95244,-11.08566,38.91434,5772
Main Focus,sub-subtopic,Solar Panel,Solar performance assessment,-50.95107,-120.95107,-9.86039,40.13961,248379
European Photovoltaic,sub-subtopic,Solar Panel,Solar urban sustainability ,-50.94647,-120.94647,-10.06318,39.93682,68098
Paper,sub-subtopic,Solar Panel,Solar technology adoption ,-50.93925,-120.93925,-2.8046,47.1954,495340
Renew Energy,sub-subtopic,Solar Panel,Energy assessments,-50.93549,-120.93549,-12.26396,37.73604,761823
Ina,sub-subtopic,Solar Panel,Solar Materials ,-50.93272,-120.93272,-11.64731,38.35269,200468
Guldens Leon,sub-subtopic,Solar Panel,Energy assessments,-50.92605,-120.92605,-11.33426,38.66574,353128
Circuit Boards,sub-subtopic,Solar Panel,Solar Energy Optimization,-50.91549,-120.91549,-12.4434,37.5566,324233
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.90215,-120.90215,-12.36174,37.63826,415573
World Population,sub-subtopic,Solar Panel,Electricity access,-50.89801,-120.89801,-10.06594,39.93406,541110
Electricity Live,sub-subtopic,Solar Panel,Electricity access,-50.89213,-120.89213,-14.55725,35.44275,281031
Inadequate Power,sub-subtopic,Solar Panel,Renewable Solutions Integration,-50.87963,-120.87963,-14.2717,35.7283,515069
Natural Disasters,sub-subtopic,Solar Panel,Sustainable technologies ,-50.86604,-120.86604,-12.40312,37.59688,650915
Assess Quality,sub-subtopic,Solar Panel,Sustainability analysis ,-50.85827,-120.85827,-11.87258,38.12742,921004
Study Focused,sub-subtopic,Solar Panel,Electricity access,-50.85292,-120.85292,6.24988,56.24988,868231
Small Scale,sub-subtopic,Solar Panel,Energy efficiency meaasures,-50.85042,-120.85042,-12.59546,37.40454,48694
Guatemala Residents,sub-subtopic,Solar Panel,Electricity access,-50.84992,-120.84992,-12.94172,37.05828,941971
Disproportionately Affected,sub-subtopic,Solar Panel,Electricity access,-50.8499,-120.8499,-14.63419,35.36581,909584
Phone Charging,sub-subtopic,Solar Panel,Electricity access,-50.84715,-120.84715,-12.23341,37.76659,210077
Power Authority,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.84659,-120.84659,-12.50534,37.49466,359119
Major Consequence,sub-subtopic,Solar Panel,Solar panel perception,-50.83855,-120.83855,-11.09316,38.90684,422131
Puerto Rican,sub-subtopic,Solar Panel,Electricity access,-50.83447,-120.83447,-5.70015,44.29985,986787
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.8324,-120.8324,-14.68891,35.31109,458087
Guatemala Studied,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-50.8291,-120.8291,-11.80841,38.19159,166143
Researchers Conducts,sub-subtopic,Solar Panel,Renewable energy insights,-50.82689,-120.82689,-10.44066,39.55934,467453
Researchers Interview,sub-subtopic,Solar Panel,Renewable energy insights,-50.82327,-120.82327,-11.31815,38.68185,317171
Global Horizontal,sub-subtopic,Solar Panel,Renewable energy integration,-50.82173,-120.82173,-4.17932,45.82068,850687
Puerto Rico,sub-subtopic,Solar Panel,Renewable energy insights,-50.81799,-120.81799,-10.97982,39.02018,297959
Estimated Solar,sub-subtopic,Solar Panel,Renewable energy integration,-50.81494,-120.81494,-11.30537,38.69463,887877
Solar Panels,sub-subtopic,Solar Panel,Solar Materials ,-50.8149,-120.8149,0.49225,50.49225,729291
Solar Panels,sub-subtopic,Solar Panel,Solar Materials ,-50.80382,-120.80382,-12.21202,37.78798,657079
System Capacity,sub-subtopic,Solar Panel,Solar systems economics ,-50.80244,-120.80244,-11.60703,38.39297,352557
Follow-Up Questionnaires,sub-subtopic,Solar Panel,Renewable energy Integration,-50.79855,-120.79855,-11.27037,38.72963,417489
Initial Interviews,sub-subtopic,Solar Panel,Solar systems economics ,-50.79687,-120.79687,-12.47368,37.52632,492596
Study,sub-subtopic,Solar Panel,Electricity access,-50.7942,-120.7942,0.11225,50.11225,670638
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.77854,-120.77854,-12.56784,37.43216,441903
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.7741,-120.7741,-11.6512,38.3488,768253
Solar Kits,sub-subtopic,Solar Panel,Renewable energy insights,-50.76048,-120.76048,-12.35868,37.64132,403235
Energy Poverty,sub-subtopic,Solar Panel,Solar technology adoption ,-50.75535,-120.75535,-3.29793,46.70207,425478
Energy Poverty,sub-subtopic,Solar Panel,Renewable energy Integration,-50.73184,-120.73184,-14.82002,35.17998,964487
Socio-Economic Factors,sub-subtopic,Solar Panel,Solar panel perception,-50.73117,-120.73117,-4.51599,45.48401,505080
Energy Poverty,sub-subtopic,Solar Panel,Electricity access,-50.72353,-120.72353,-12.61312,37.38688,127219
Generator Usage,sub-subtopic,Solar Panel,Renewable energy insights,-50.706,-120.706,-14.45031,35.54969,447416
Capita Income,sub-subtopic,Solar Panel,Renewable energy insights,-50.69628,-120.69628,-14.24753,35.75247,264788
Hurricane Maria,sub-subtopic,Solar Panel,Electricity access,-50.691,-120.691,-14.37336,35.62664,301918
Indigenous Populations,sub-subtopic,Solar Panel,Electricity access,-50.68049,-120.68049,-11.80397,38.19603,948653
Guatemala Population,sub-subtopic,Solar Panel,Electricity access,-50.67493,-120.67493,-11.26176,38.73824,187364
Average Household,sub-subtopic,Solar Panel,Renewable energy insights,-50.67073,-120.67073,-14.51058,35.48942,591170
Electricity Access,sub-subtopic,Solar Panel,Solar forecasting solutions ,-50.66148,-120.66148,-2.40377,47.59623,326023
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.65962,-120.65962,-14.71725,35.28275,357867
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.65882,-120.65882,-11.58703,38.41297,437992
Health Centres,sub-subtopic,Solar Panel,Electricity access,-50.65324,-120.65324,-13.03561,36.96439,352005
Households Surveyed,sub-subtopic,Solar Panel,Electricity access,-50.65301,-120.65301,-9.58372,40.41628,979274
Primarily Located,sub-subtopic,Solar Panel,Electricity access,-50.64187,-120.64187,-12.01896,37.98104,79291
Guatemalan Regions,sub-subtopic,Solar Panel,Electricity access,-50.64128,-120.64128,-14.85725,35.14275,883653
Service Industry,sub-subtopic,Solar Panel,Energy efficiency meaasures,-50.62657,-120.62657,-13.01394,36.98606,410475
Juan Vacated?織equal,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-50.62201,-120.62201,-3.44043,46.55957,742571
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.62128,-120.62128,-14.87836,35.12164,255699
Nasa Satellite,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-50.6134,-120.6134,-3.34182,46.65818,99274
Cayuga Energy,sub-subtopic,Solar Panel,Electricity access,-50.61325,-120.61325,-12.61062,37.38938,764358
Hurricane Maria,sub-subtopic,Solar Panel,Electricity access,-50.61239,-120.61239,-14.90114,35.09886,183488
Hurricane Maria,sub-subtopic,Solar Panel,Electricity access,-50.60908,-120.60908,-12.65228,37.34772,661483
Hurricane Maria,sub-subtopic,Solar Panel,Electricity access,-50.60906,-120.60906,-14.61003,35.38997,245481
Solar Kits,sub-subtopic,Solar Panel,Electricity access,-50.60552,-120.60552,-11.58835,38.41165,178367
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.60507,-120.60507,-3.40793,46.59207,507485
Puerto Rico,sub-subtopic,Solar Panel,Renewable energy insights,-50.59628,-120.59628,-14.94697,35.05303,412816
Affordable Access,sub-subtopic,Solar Panel,Solar forecasting solutions ,-50.59073,-120.59073,-14.88141,35.11859,26125
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.58745,-120.58745,-9.61566,40.38434,914215
Guatemala,sub-subtopic,Solar Panel,Sustainability analysis ,-50.58611,-120.58611,-11.23842,38.76158,413695
Non-Profit Efforts,sub-subtopic,Solar Panel,Electricity access,-50.57187,-120.57187,-11.56814,38.43186,304753
Powering,sub-subtopic,Solar Panel,Electricity access,-50.57184,-120.57184,-15.02836,34.97164,668098
Cell Phone,sub-subtopic,Solar Panel,Electricity access,-50.54785,-120.54785,-3.00349,46.99651,635912
Devices,sub-subtopic,Solar Panel,Electricity access,-50.54349,-120.54349,-8.51286,41.48714,197758
Interviewed Guatemalan,sub-subtopic,Solar Panel,Electricity access,-50.54076,-120.54076,-11.77175,38.22825,993734
Solar Kit,sub-subtopic,Solar Panel,Electricity access,-50.53965,-120.53965,-11.93174,38.06826,136691
Guatemala Find,sub-subtopic,Solar Panel,Solar forecasting solutions ,-50.53007,-120.53007,-3.34598,46.65402,482691
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.52854,-120.52854,-11.54784,38.45216,817101
Total Cost,sub-subtopic,Solar Panel,Renewable energy insights,-50.52411,-120.52411,-9.70344,40.29656,290924
Surveyed Household,sub-subtopic,Solar Panel,Renewable energy insights,-50.51817,-120.51817,-15.2517,34.7483,316300
Estimated Upfront,sub-subtopic,Solar Panel,Renewable energy insights,-50.51076,-120.51076,-0.54198,49.45802,947881
Cost,sub-subtopic,Solar Panel,Renewable energy insights,-50.5059,-120.5059,-3.39793,46.60207,135437
Healthcare,sub-subtopic,Solar Panel,Electricity access,-50.48297,-120.48297,-12.69784,37.30216,539971
Kerosene Lamps,sub-subtopic,Solar Panel,Solar forecasting solutions ,-50.476,-120.476,-14.95725,35.04275,366116
Household Air,sub-subtopic,Solar Panel,Sustainable technologies ,-50.47506,-120.47506,-3.44265,46.55735,469471
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.4698,-120.4698,-2.47765,47.52235,351616
Top Topics,sub-subtopic,Solar Panel,Electricity access,-50.4691,-120.4691,-10.18954,39.81046,977958
Medical Conditions,sub-subtopic,Solar Panel,Electricity access,-50.46766,-120.46766,-15.29168,34.70832,136439
Medical Equipment,sub-subtopic,Solar Panel,Electricity access,-50.46105,-120.46105,-11.86238,38.13762,969028
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.45794,-120.45794,-15.36085,34.63915,333942
Medical Concerns,sub-subtopic,Solar Panel,Electricity access,-50.45601,-120.45601,-13.14116,36.85884,730376
Healthcare Improvement,sub-subtopic,Solar Panel,Electricity access,-50.43979,-120.43979,-3.39376,46.60624,440158
Puerto Rican,sub-subtopic,Solar Panel,Electricity access,-50.43683,-120.43683,-15.31391,34.68609,941570
Potential Benefits,sub-subtopic,Solar Panel,Solar forecasting solutions ,-50.436,-120.436,-15.13474,34.86526,776298
Hurricane Maria,sub-subtopic,Solar Panel,Electricity access,-50.43572,-120.43572,-15.04697,34.95303,637448
Important Quality,sub-subtopic,Solar Panel,Sustainability analysis ,-50.4227,-120.4227,-12.04674,37.95326,131370
Solar Kits,sub-subtopic,Solar Panel,Electricity access,-50.42034,-120.42034,-3.55237,46.44763,942356
Guatemala,sub-subtopic,Solar Panel,Electricity access,-50.41701,-120.41701,-3.01682,46.98318,277175
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.40659,-120.40659,-11.83149,38.16851,978360
Puerto Rico,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.40131,-120.40131,-11.96369,38.03631,403899
Power Show,sub-subtopic,Solar Panel,Solar panel perception,-50.38214,-120.38214,-12.01591,37.98409,226606
Participants Rate,sub-subtopic,Solar Panel,Sustainability analysis ,-50.38156,-120.38156,-13.24644,36.75356,753205
Panels Affect,sub-subtopic,Solar Panel,Electricity access,-50.37543,-120.37543,-14.34475,35.65525,449998
Enhance Learning,sub-subtopic,Solar Panel,Solar energy impact,-50.3613,-120.3613,-12.0223,37.9777,137264
Economic Mobility,sub-subtopic,Solar Panel,Solar panel perception,-50.36015,-120.36015,-13.86032,36.13968,168582
Puerto Rico,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.35341,-120.35341,-2.55626,47.44374,677273
Hurricane Maria,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.35103,-120.35103,-11.74453,38.25547,457315
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.34579,-120.34579,-7.81123,42.18877,698066
Influence Quality,sub-subtopic,Solar Panel,Electricity access,-50.33674,-120.33674,-2.5271,47.4729,971812
Puerto Rico,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.3192,-120.3192,0.66648,50.66648,326429
Island-Wide Blackout,sub-subtopic,Solar Panel,Electricity access,-50.31852,-120.31852,-12.70923,37.29077,170293
Puerto Rico,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.31035,-120.31035,-2.57654,47.42346,119290
Distributed Hubs,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.30867,-120.30867,-3.62265,46.37735,199073
Distributed Solar,sub-subtopic,Solar Panel,Solar forecasting solutions ,-50.30702,-120.30702,-11.99406,38.00594,317765
Traditional Generators,sub-subtopic,Solar Panel,Solar forecasting solutions ,-50.29313,-120.29313,-2.58432,47.41568,280172
Natural Disaster,sub-subtopic,Solar Panel,Renewable energy insights,-50.28958,-120.28958,-2.60988,47.39012,70081
Requirements Addressed,sub-subtopic,Solar Panel,Solar forecasting solutions ,-50.28118,-120.28118,-2.57432,47.42568,751621
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.27821,-120.27821,-15.25557,34.74443,263007
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.27686,-120.27686,-11.93424,38.06576,632598
San Juan,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.26991,-120.26991,-12.0023,37.9977,147046
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.2638,-120.2638,-12.01535,37.98465,108816
South Asian,sub-subtopic,Solar Panel,Solar panel perception,-50.262,-120.262,-3.59793,46.40207,338261
Environmental Science,sub-subtopic,Solar Panel,Solar urban sustainability ,-50.26018,-120.26018,-12.877,37.123,729702
Decentralized Electrification,sub-subtopic,Solar Panel,Energy assessments,-50.24823,-120.24823,-12.77145,37.22855,940000
Sector Management,sub-subtopic,Solar Panel,Solar urban sustainability ,-50.2413,-120.2413,-12.0373,37.9627,994843
Publication Date,sub-subtopic,Solar Panel,Solar urban sustainability ,-50.2403,-120.2403,5.75984,55.75984,657762
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.23269,-120.23269,-11.96035,38.03965,394228
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.21614,-120.21614,-5.00181,44.99819,780537
Wbg Report,sub-subtopic,Solar Panel,Solar panel perception,-50.21369,-120.21369,-2.10987,47.89013,703238
World Bank,sub-subtopic,Solar Panel,Solar urban sustainability ,-50.20841,-120.20841,-2.32404,47.67596,266768
National Survey,sub-subtopic,Solar Panel,Sustainability analysis ,-50.19295,-120.19295,-12.92367,37.07633,660956
Sustainable Development,sub-subtopic,Solar Panel,Solar urban sustainability ,-50.19265,-120.19265,-15.3864,34.6136,88795
Global Assessment,sub-subtopic,Solar Panel,Energy assessments,-50.18904,-120.18904,-13.39338,36.60662,751930
Pv-Battery Systems,sub-subtopic,Solar Panel,Solar energy impact,-50.18727,-120.18727,-3.65793,46.34207,813954
Hurricane Maria,sub-subtopic,Solar Panel,Electricity access,-50.18503,-120.18503,-4.7657,45.2343,54841
Humanitarian Technology,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.18325,-120.18325,-10.67204,39.32796,816641
Ieee Conference,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.1612,-120.1612,-10.84977,39.15023,744457
Energy Poverty,sub-subtopic,Solar Panel,Solar panel perception,-50.15841,-120.15841,-2.11514,47.88486,577441
Hurricane Fiona,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.13765,-120.13765,-15.40418,34.59582,357211
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.12903,-120.12903,-13.99588,36.00412,709970
York Times,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.12824,-120.12824,-10.93259,39.06741,743312
Hurricane Maria,sub-subtopic,Solar Panel,Electricity access,-50.1192,-120.1192,1.18308,51.18308,650787
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.11487,-120.11487,-15.33224,34.66776,608937
Mercy Corps,sub-subtopic,Solar Panel,Solar urban sustainability ,-50.10292,-120.10292,-13.79727,36.20273,291847
Mercy Corps,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.09991,-120.09991,-10.81204,39.18796,707042
Energy Poverty,sub-subtopic,Solar Panel,Solar technology adoption ,-50.07987,-120.07987,-15.38557,34.61443,843457
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.07118,-120.07118,-2.35292,47.64708,355473
Small-Scale Solar,sub-subtopic,Solar Panel,Electricity access,-50.06683,-120.06683,-12.98089,37.01911,123467
World Population,sub-subtopic,Solar Panel,Electricity access,-50.06072,-120.06072,-13.03866,36.96134,991689
Majority,sub-subtopic,Solar Panel,Electricity access,-50.05988,-120.05988,-13.27644,36.72356,230727
Life Index,sub-subtopic,Solar Panel,Sustainability analysis ,-50.05102,-120.05102,-10.76009,39.23991,138164
Solar Kits,sub-subtopic,Solar Panel,Energy efficiency meaasures,-50.04461,-120.04461,-13.07311,36.92689,25385
Energy Infrastructure,sub-subtopic,Solar Panel,Renewable Solutions Integration,-50.02658,-120.02658,-10.76232,39.23768,242168
Phone Charging,sub-subtopic,Solar Panel,Electricity access,-50.02294,-120.02294,-13.05283,36.94717,465698
Hurricanes Irma,sub-subtopic,Solar Panel,Solar innovation solutions ,-50.01646,-120.01646,-2.15903,47.84097,644179
Storm,sub-subtopic,Solar Panel,Sustainable technologies ,-50.01627,-120.01627,-13.19783,36.80217,379529
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-50.00865,-120.00865,-3.67626,46.32374,855153
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-49.99671,-119.99671,-3.78515,46.21485,794971
Horizontal Irradiation,sub-subtopic,Solar Panel,Renewable energy integration,-49.98881,-119.98881,-10.48176,39.51824,228309
Photovoltaic Energy,sub-subtopic,Solar Panel,Renewable energy integration,-49.98435,-119.98435,-11.06676,38.93324,874947
Solar Resource,sub-subtopic,Solar Panel,Renewable energy insights,-49.97659,-119.97659,-10.31981,39.68019,617203
Research Kits,sub-subtopic,Solar Panel,Renewable energy integration,-49.97297,-119.97297,-10.7487,39.2513,905121
Panel,sub-subtopic,Solar Panel,Solar Materials ,-49.96628,-119.96628,-12.51506,37.48494,40466
Prevent Leaking,sub-subtopic,Solar Panel,Sustainable technologies ,-49.9618,-119.9618,-13.99171,36.00829,673607
Typical System,sub-subtopic,Solar Panel,Renewable energy Integration,-49.92603,-119.92603,-10.4862,39.5138,880719
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-49.92045,-119.92045,-12.45562,37.54438,563021
Self-Administered Questionnaire,sub-subtopic,Solar Panel,Sustainability analysis ,-49.91727,-119.91727,-3.3207,46.6793,960646
Interviews Conducted,sub-subtopic,Solar Panel,Sustainability analysis ,-49.90685,-119.90685,-11.02287,38.97713,967092
Initial Interviews,sub-subtopic,Solar Panel,Solar systems economics ,-49.90476,-119.90476,-13.73674,36.26326,657965
Guatemala,sub-subtopic,Solar Panel,Electricity access,-49.90282,-119.90282,-3.26209,46.73791,128289
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-49.9017,-119.9017,-3.74903,46.25097,626961
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-49.87463,-119.87463,-13.01533,36.98467,747936
Solar Kits,sub-subtopic,Solar Panel,Electricity access,-49.86097,-119.86097,-15.58667,34.41333,956899
Energy Poverty,sub-subtopic,Solar Panel,Solar technology adoption ,-49.85958,-119.85958,-13.56894,36.43106,726655
Energy Poverty,sub-subtopic,Solar Panel,Renewable energy Integration,-49.85255,-119.85255,-2.7657,47.2343,873385
Household Participants,sub-subtopic,Solar Panel,Solar panel perception,-49.85126,-119.85126,-13.28977,36.71023,579595
Census Measure,sub-subtopic,Solar Panel,Electricity access,-49.84325,-119.84325,-10.36398,39.63602,465655
Regional Poverty,sub-subtopic,Solar Panel,Solar panel perception,-49.8332,-119.8332,-13.45727,36.54273,12463
Median Income,sub-subtopic,Solar Panel,Renewable energy insights,-49.82764,-119.82764,-15.56417,34.43583,526624
Hurricane Maria,sub-subtopic,Solar Panel,Electricity access,-49.82658,-119.82658,-10.38453,39.61547,263421
Cayuga Spend,sub-subtopic,Solar Panel,Renewable energy insights,-49.82319,-119.82319,-13.8106,36.1894,517056
Energy Access,sub-subtopic,Solar Panel,Solar panel perception,-49.8138,-119.8138,-10.47037,39.52963,327517
Considered Vulnerable,sub-subtopic,Solar Panel,Electricity access,-49.80515,-119.80515,-13.20115,36.79885,388025
Socio-Economic Development,sub-subtopic,Solar Panel,Energy efficiency meaasures,-49.7907,-119.7907,-13.34977,36.65023,846554
Energy Poverty,sub-subtopic,Solar Panel,Electricity access,-49.78407,-119.78407,-10.91398,39.08602,308269
Census Data,sub-subtopic,Solar Panel,Renewable energy insights,-49.78291,-119.78291,-13.69922,36.30078,734987
Electricity Access,sub-subtopic,Solar Panel,Solar forecasting solutions ,-49.78062,-119.78062,-1.90402,48.09598,570414
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-49.77602,-119.77602,-10.4037,39.5963,352922
Energy Access,sub-subtopic,Solar Panel,Electricity access,-49.77265,-119.77265,-12.80894,37.19106,244713
Agricultural Industry,sub-subtopic,Solar Panel,Electricity access,-49.77237,-119.77237,-13.25227,36.74773,419788
Households Participated,sub-subtopic,Solar Panel,Electricity access,-49.76892,-119.76892,-3.7932,46.2068,555349
Juan Vacated?織equal,sub-subtopic,Solar Panel,Photovoltaic Forecasting Techniques,-49.7674,-119.7674,-10.8362,39.1638,785693
Nearest Electrical,sub-subtopic,Solar Panel,Solar Energy Optimization,-49.76573,-119.76573,-11.04593,38.95407,449805
Remote Regions,sub-subtopic,Solar Panel,Electricity access,-49.75269,-119.75269,-10.46509,39.53491,683274
Energy Recovery,sub-subtopic,Solar Panel,Electricity access,-49.74962,-119.74962,-11.0587,38.9413,600201
Hurricane Maria,sub-subtopic,Solar Panel,Electricity access,-49.74633,-119.74633,-0.23138,49.76862,156743
Hurricane Maria,sub-subtopic,Solar Panel,Electricity access,-49.74129,-119.74129,-11.11176,38.88824,17519
Remote Regions,sub-subtopic,Solar Panel,Electricity access,-49.72627,-119.72627,-12.6345,37.3655,437252
Kit Installation,sub-subtopic,Solar Panel,Electricity access,-49.72212,-119.72212,-10.95204,39.04796,641168
Guatemala,sub-subtopic,Solar Panel,Electricity access,-49.71291,-119.71291,-15.54917,34.45083,887925
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-49.70846,-119.70846,-13.68422,36.31578,743512
Puerto Rico,sub-subtopic,Solar Panel,Renewable energy insights,-49.70741,-119.70741,-10.35092,39.64908,412091
Puerto Rico,sub-subtopic,Solar Panel,Electricity access,-49.70292,-119.70292,-13.17477,36.82523,518272
Guatemala,sub-subtopic,Solar Panel,Sustainability analysis ,-49.70098,-119.70098,-12.73783,37.26217,429952
Study,sub-subtopic,Solar Panel,Electricity access,-49.70097,-119.70097,-13.20699,36.79301,717961
